Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Jeanneau,sunodyssey49ds,4.49,1.8,Masthead sloop,12600,121.0,Fiberglass,7.0,1.98,240,700,76,15.06,13.74,Diesel,100,Shoal draft keel
Jeanneau,sunodyssey49,4.49,2.015,Masthead sloop,12000,124.5,Fiberglass,9.0,1.98,240,700,75,14.98,12.91,Diesel,110,Fin keel
Jeanneau,sunodyssey54ds,4.92,2.3,Masthead sloop,17900,126.0,Fiberglass,7.0,1.98,400,930,100,16.75,14.78,Diesel,410,Shoal draft keel
Malo,43classic,4.05,2.0,Masthead sloop,13700,109.0,Sandwich construction with divinycell core,6.0,1.95,395,500,55,13.33,11.23,Diesel,380,Fin keel
Malo,46,4.35,2.25,Masthead sloop,17900,118.0,Sandwich construction with divinycell core,7.0,1.96,660,600,75,14.93,12.64,Diesel,360,Fin keel
Moody,49,4.57,2.08,Masthead sloop,15600,129.6,Fiberglass,5.0,2.01,454,568,100,14.93,12.75,Diesel,110,Bulb fin keel
Morris,yachtsoceanseries48gt,4.27,2.1,Masthead sloop,18239,144.5,Composite,7.0,1.98,545,757,76,16.46,13.72,Diesel,320,Fin keel
Najad,380,3.9,1.9,Sloop,11500,87.7,Fiberglass with Divinycell core,5.0,1.85,385,420,55,11.65,9.28,Diesel,185,Fin keel
Nauticat,385,3.35,1.86,Ketch,12000,106.0,Fiberglass,7.0,1.98,500,760,75,11.8,9.9,Diesel,220,Long keel
Nauticat,44,3.78,1.85,Ketch,16250,105.0,Fiberglass,7.0,1.96,600,800,88,13.35,11.0,Diesel,300,Long keel
Poncin,yachtsharmony47,4.47,2.05,Sloop,12700,108.0,Fiberglass,8.0,1.95,450,750,75,14.33,11.36,Diesel,250,Bulb fin keel
Salona,yachtssalona40,3.9,2.45,Rod-rigging,7000,82.0,Fiberglass,7.0,1.95,200,270,40,12.2,10.85,Diesel,120,Fin keel
Salona,yachtssalona45,4.21,2.5,Rod-rigging,10300,128.0,Fiberglass,9.0,1.98,320,390,55,13.5,11.5,Diesel,55,Fin keel
ShearWater,39,3.66,2.135,Masthead sloop,9072,70.6,Fiberglass,5.0,1.9,225,340,40,12.01,10.97,Diesel,130,Fin keel
Sunbeam,yachtssunbeam39,3.95,2.05,7/8 fractional sloop,10900,76.2,Composite,5.0,1.96,250,360,50,12.58,11.14,Diesel,180,Fin keel
Sunbeam,yachtssunbeam53,4.75,2.22,7/8 fractional sloop,23500,169.0,Composite,5.0,2.1,500,750,110,16.15,14.1,Diesel,370,Fin keel
Sweden Yachts,42,3.86,2.25,7/8 fractional sloop,10200,95.0,Fiberglass,6.0,1.98,200,300,55,12.88,10.69,Diesel,55,Bulb fin keel
Tartan,4400,4.34,1.98,Masthead sloop,13835,102.5,Fiberglass,7.0,1.96,340,600,75,13.41,11.38,Diesel,208,Deep fin keel
Van De Stadt,beluga46,4.2,2.1,Sloop,12000,100.0,Steel,7.0,1.95,800,800,75,14.02,11.15,Diesel,400,Fin keel
Wauquiez,centurion40s,3.85,2.05,9/10 fractional sloop,8380,70.0,Fiberglass,5.0,1.92,180,320,40,12.58,10.36,Diesel,40,Fin keel
Wauquiez,pilotsaloon40,4.11,1.85,Masthead cutter,10000,97.0,Fiberglass,5.0,1.98,330,530,55,12.98,11.0,Diesel,265,Shoal draft keel
X-Yachts,x-40,3.81,2.3,9/10 fractional sloop,8500,87.4,Fiberglass,7.0,1.95,200,340,40,12.35,11.3,Diesel,135,Fin keel
