Make,Variant,Beam (m),Draft (m),Rigging,Displacement (kg),Sail Area (m²),Hull Materials,Sleeping Capacity,Headroom (m),Fuel Capacity (L),Water Capacity (L),Standard Engine Power (hp),LOA (m),Waterline Length (m),Fuel Type,Holding Tank Capacity (L),Keel Type
Vismara,v52,4.35,2.65,Masthead sloop,13000,144.0,Carbon fiber,7.0,1.95,300,600,75,16.18,14.07,Diesel,300,Shoal draft keel
Vismara,52carbon,4.35,2.65,Masthead sloop,12000,151.0,Carbon fiber,7.0,1.95,300,600,75,16.18,14.07,Diesel,110,Shoal draft keel
X-Yachts,x-41,3.49,2.46,Masthead sloop,6700,94.0,Fiberglass,7.0,1.9,200,200,40,12.35,11.34,Diesel,29,Fin keel
X-Yachts,x-46,4.36,2.7,Masthead sloop,12100,122.0,Fiberglass,7.0,1.98,230,460,55,14.02,12.17,Diesel,54,Shoal draft keel
X-Yachts,x-55,4.97,3.05,Masthead sloop,20500,170.0,Fiberglass,8.0,1.98,500,700,110,16.76,14.85,Diesel,340,Shoal draft keel
Bavaria,40cruiser,3.99,2.05,Masthead sloop,8500,77.0,Fiberglass,6.0,1.95,210,360,28,12.35,11.35,Diesel,150,Shoal draft keel
Beneteau,43,4.12,2.0,Masthead sloop,8870,82.3,Fiberglass,7.0,1.95,200,360,54,13.08,11.6,Diesel,200,Shoal draft keel
Beneteau,oceanis43.4,4.12,2.0,Masthead sloop,8770,77.6,Fiberglass,7.0,1.98,200,360,54,13.08,11.6,Diesel,200,Shoal draft keel
Beneteau,first45,4.2,2.7,Masthead sloop,10600,103.6,Fiberglass,7.0,1.95,200,360,54,14.07,12.94,Diesel,130,Fin keel
Beneteau,first50sport,4.49,2.5,Masthead sloop,14000,137.5,Fiberglass,7.0,1.95,200,700,75,15.1,14.4,Diesel,75,Fin keel
Comar,comet450,4.2,2.5,Masthead sloop,13500,142.0,PVC foam and fiberglass,7.0,1.98,250,600,75,13.7,12.15,Diesel,180,Fin keel
Dufour,425grandlarge,4.16,2.1,Masthead sloop,8900,85.0,Fiberglass,7.0,1.95,160,320,55,12.9,11.45,Diesel,60,Shoal draft keel
Elan,impression450,4.41,2.25,Masthead sloop,11500,94.0,Fiberglass,7.0,2.05,270,513,55,13.85,12.67,Diesel,165,Shoal draft keel
Hanse,400epoxy,4.04,1.98,Masthead sloop,8400,87.0,Fiberglass composite,7.0,1.95,140,325,40,12.35,11.4,Diesel,125,Shoal draft keel
Hunter,45ds,4.27,1.78,Sloop,10400,108.0,Fiberglass,7.0,1.98,200,570,75,13.72,12.37,Diesel,208,Shoal draft keel
Jeanneau,39i,3.88,1.91,Masthead sloop,7860,70.0,Fiberglass,6.0,1.95,130,355,40,11.62,10.69,Diesel,140,Shoal draft keel
Jeanneau,sunodyssey42iperformance,4.13,2.13,Masthead sloop,8900,85.0,Fiberglass,7.0,1.93,135,355,54,12.85,11.61,Diesel,200,Shoal draft keel
Jeanneau,sunodyssey49iperformance,4.49,2.15,Masthead sloop,12000,120.0,Fiberglass,8.0,1.98,240,615,75,14.98,13.96,Diesel,240,Shoal draft keel
Jeanneau,sunodyssey50ds,4.49,2.15,Masthead sloop,13900,116.0,Fiberglass,8.0,2,410,750,75,14.75,13.12,Diesel,240,Shoal draft keel
Malo,40,3.77,1.8,Sloop,10500,66.0,Fiberglass,6.0,1.9,240,470,55,12.45,10.55,Diesel,280,Fin keel
Morris,m42,4.11,1.865,Masthead sloop,11300,100.0,Fiberglass composite,5.0,1.93,250,600,57,13.43,11.89,Diesel,180,Shoal draft keel
Oyster,54,4.88,2.39,Sloop,27000,159.7,Fiberglass,7.0,1.98,1175,950,110,16.46,13.97,Diesel,400,Shoal draft keel
Passport,470centercockpit,4.37,2.045,Cutter,15400,148.0,Fiberglass,7.0,1.98,757,757,75,14.35,11.58,Diesel,265,Shoal draft keel
Sweden Yachts,54,4.72,2.25,Sloop,21500,167.0,Fiberglass,7.0,2,550,800,110,16.34,13.36,Diesel,450,Shoal draft keel
Tartan,4300,4.22,2.08,Masthead sloop,11340,100.3,Fiberglass,6.0,1.98,200,440,75,13.11,11.28,Diesel,190,Fin keel
X-Yachts,x-41onedesign,3.29,2.6,Masthead sloop,5500,90.6,Carbon fiber,7.0,1.92,150,150,40,12.35,11.34,Diesel,50,Shoal draft keel
X-Yachts,x-50modern,4.58,2.7,Masthead sloop,16100,147.9,Fiberglass,8.0,1.98,370,600,110,15.24,13.76,Diesel,75,Shoal draft keel
Zuanelli,40,3.84,1.95,Masthead sloop,7500,78.5,Fiberglass,7.0,1.96,200,350,55,12.2,10.66,Diesel,160,Fin keel
Alliage,azzuro53,4.63,2.1,Sloop,22000,168.6,Fiberglass,6.0,1.98,700,1000,110,16.15,14.3,Diesel,400,Fin keel
Bavaria,47cruiser,4.45,1.975,Sloop,12600,100.0,Fiberglass,7.0,2.05,210,650,75,14.27,12.99,Diesel,210,Shoal draft keel
Bavaria,51cruiser,4.65,2.05,Sloop,15700,133.0,Fiberglass,8.0,1.98,280,650,75,15.57,14.02,Diesel,280,Shoal draft keel
Bavaria,56cruiser,5.25,2.52,Sloop,18900,169.0,Fiberglass,8.0,2.07,280,690,110,16.75,15.43,Diesel,280,Shoal draft keel
Beneteau,first40,3.89,2.45,Masthead sloop,7580,82.3,Fiberglass,7.0,1.9,130,360,40,12.58,11.18,Diesel,200,Fin keel
Beneteau,first40cr,3.95,2.45,Masthead sloop,7680,97.0,Fiberglass,7.0,1.94,130,320,40,12.58,11.18,Diesel,30,Fin keel
Grand Soleil,46jezequel,4.34,2.45,Masthead sloop,12800,120.0,Fiberglass,7.0,1.96,230,600,75,14.98,12.9,Diesel,240,Shoal draft keel
Grand Soleil,48oceancruiser,4.5,2.7,Sloop,15500,142.0,Fiberglass,7.0,1.98,400,900,75,14.82,12.8,Diesel,350,Shoal draft keel
Hunter,50,4.83,2.06,B&R fractional sloop,15000,141.0,Fiberglass,7.0,2,568,757,76,15.47,13.11,Diesel,280,Shoal draft keel
Jeanneau,sunodyssey44i,4.37,2.0,Masthead sloop,9640,89.0,Fiberglass,8.0,2.02,240,615,54,13.75,12.06,Diesel,200,Shoal draft keel
Malo,40classic,3.77,1.8,Sloop,10500,66.0,Fiberglass,6.0,1.9,240,470,55,12.45,10.55,Diesel,280,Fin keel
Moody,45ds,4.27,2.03,Sloop,17637,131.0,Fiberglass,7.0,1.96,400,820,75,13.72,11.53,Diesel,230,Shoal draft keel
Moody,45classic,4.27,1.83,Sloop,15500,94.5,Fiberglass,7.0,1.95,360,820,75,13.43,11.48,Diesel,210,Iron keel
Nauticat,441ketch,4.19,2.05,Ketch,15000,104.0,Fiberglass,7.0,1.93,800,750,110,13.52,11.41,Diesel,500,Shoal draft keel
Nauticat,441,4.3,2.1,Ketch,15500,114.0,Fiberglass,7.0,2,900,800,110,13.59,11.28,Diesel,400,Shoal draft keel
Nordship,380ds,3.7,1.85,Sloop,9800,90.0,Fiberglass,5.0,1.95,200,360,55,12.5,10.5,Diesel,150,Shoal draft keel
RM Yachts,rm1200,4.35,2.15,Masthead sloop,8800,101.6,Plywood/epoxy composite,7.0,1.98,180,600,40,12.17,10.79,Diesel,120,Lifting keel
Solaris,48,4.46,2.5,Masthead sloop,15000,133.0,Fiberglass,7.0,2.05,340,680,75,14.62,12.96,Diesel,406,Shoal draft keel
Solaris,48one,4.46,2.5,Masthead sloop,13200,142.0,Fiberglass composite,7.0,2.05,340,680,75,14.62,12.96,Diesel,406,Shoal draft keel
Southerly,42rst,4.49,1.79,Sloop,12000,90.0,Fiberglass,6.0,1.98,340,340,54,13.57,10.74,Diesel,190,Lifting keel
Triplast,y40,3.66,1.83,Sloop,6600,51.7,Fiberglass,4.5,1.85,68,220,25,11.89,8.23,Diesel,70,Fin keel
X-Yachts,xc42,3.95,2.05,Masthead sloop,10200,104.0,Fiberglass,7.0,1.94,200,300,40,12.81,11.49,Diesel,200,Shoal draft keel
Bavaria,45cruiser,4.35,1.915,Sloop,12600,107.0,Fiberglass,7.0,2.07,210,360,55,13.98,12.74,Diesel,210,Shoal draft keel
Beneteau,oceanis46family,4.25,2.05,Masthead sloop,11000,109.6,Fiberglass,8.0,1.98,200,570,54,14.09,13.25,Diesel,200,Shoal draft keel
Beneteau,america50,4.92,1.98,Masthead sloop,15500,149.0,Fiberglass,7.0,1.96,400,980,75,15.09,13.26,Diesel,240,Shoal draft keel
Catalina,445,4.22,1.905,Masthead sloop,12600,100.3,Fiberglass,7.0,1.96,208,529,54,13.72,12.5,Diesel,170,Wing keel
Discovery,55,5.23,2.39,Sloop,28000,153.0,Fiberglass,7.0,2.05,1040,1065,160,17.45,14.63,Diesel,386,Bulb keel
Dufour,40eperformance,3.89,2.1,Masthead sloop,7867,78.5,Fiberglass,6.0,1.95,160,360,40,12.35,11.3,Diesel,200,L-shaped keel
Dufour,40e,3.89,1.95,Masthead sloop,7867,73.0,Fiberglass,6.0,1.95,200,360,40,12.35,11.3,Diesel,200,L-shaped keel
Dufour,45eperformance,4.3 or 4.65,2.15,Masthead sloop,10500,98.0,Fiberglass,6.0,1.95,250,500,55,13.72,12.5,Diesel,250,Shoal draft keel
Grand Soleil,46,4.34,2.5,Masthead sloop,13500,120.0,Fiberglass,7.0,1.96,280,600,75,14.63,12.17,Diesel,220,Shoal draft keel
Hunter,39,4.04,1.75,Sloop,8490,77.0,Fiberglass,6.0,1.93,189,284,40,12.04,10.67,Diesel,128,Wing keel
Hunter,oceanisvoyager,4.27,1.775,Masthead sloop,11340,79.0,Fiberglass,7.0,1.91,190,568,54,12.73,11.07,Diesel,170,Shoal draft keel
Hunter,ac50,4.47,2.045,Masthead sloop,17237,151.0,Fiberglass,7.0,2.03,568,757,110,15.24,13.11,Diesel,265,Shoal draft keel
Hunter,50centercockpit,4.75,1.98,Masthead sloop,15200,126.0,Fiberglass,7.0,1.98,568,757,76,15.32,13.11,Diesel,110,Wing keel
Jeanneau,53,4.77,2.28,Masthead sloop,16100,135.0,Fiberglass,8.0,2.03,240,950,100,16.06,14.48,Diesel,240,Shoal draft keel
Jeanneau,sunodyssey53,4.77,2.28,Masthead sloop,16000,136.0,Fiberglass,8.0,2.05,240,950,100,16.06,14.48,Diesel,240,Shoal draft keel
Moody,45dse,4.27,2.03,Sloop,20000,131.0,Fiberglass,7.0,1.96,400,820,75,13.72,11.53,Diesel,230,Shoal draft keel
Salona,44,4.19,2.39,Masthead sloop,11000,103.0,Fiberglass,7.0,1.98,220,350,55,13.5,12.35,Diesel,200,Shoal draft keel
Solaris,one44,4.05,2.65,Masthead sloop,8800,119.0,Fiberglass composite,6.0,1.9,250,500,55,13.5,11.5,Diesel,220,Shoal draft keel
Southerly,38,3.84,1.69,Sloop,7800,77.1,Fiberglass,5.0,1.93,180,340,40,12.09,10.67,Diesel,150,Lifting keel
Vismara,54,4.9,2.55,Sloop,17000,136.0,Carbon fiber composite,7.0,2,450,800,100,16.4,14.0,Diesel,300,Lifting keel
Azuree,40,3.96,2.15,Masthead sloop,8600,80.0,Fiberglass,6.0,1.95,210,320,40,11.99,11.03,Diesel,160,L-shaped keel
Bavaria,40scruiser,3.99,2.1,Masthead sloop,8500,89.0,Fiberglass,7.0,1.97,210,360,40,12.35,10.75,Diesel,150,L-shaped keel
Beneteau,oceanis50familyg5,4.82,1.85,Masthead sloop,13100,126.5,Fiberglass,8.0,2,235,980,75,15.42,14.75,Diesel,500,Shoal draft keel
Beneteau,oceanis50.5,4.82,1.85,Masthead sloop,14000,129.0,Fiberglass,8.0,2.03,400,970,75,15.24,14.63,Diesel,235,Shoal draft keel
Beneteau,oceanis50family,4.82,1.85,Masthead sloop,13100,126.5,Fiberglass,8.0,2,235,980,75,15.42,14.75,Diesel,500,Shoal draft keel
Catalina,375,3.66,1.75,Masthead sloop,8182,85.6,Fiberglass,6.0,1.93,136,424,40,11.73,9.88,Diesel,132,Wing keel
Contest,45cs,4.25,2.15,Sloop,14000,104.0,Fiberglass,6.0,1.95,300,600,75,13.78,11.4,Diesel,220,Shoal draft keel
Dehler,41,3.91,2.1,Masthead sloop,8830,84.0,Fiberglass,6.0,1.98,210,300,40,12.4,10.8,Diesel,30,L-shaped keel
Dehler,45,4.38,2.3,Masthead sloop,11290,112.0,Fiberglass composite,7.0,2,250,450,55,13.5,11.5,Diesel,180,L-shaped keel
Dufour,405,3.98,2.03,Masthead sloop,8500,85.0,Fiberglass,7.0,1.98,200,380,55,12.17,10.67,Diesel,160,Shoal draft keel
Dufour,445grandlarge,4.35,2.2,Masthead sloop,10700,97.0,Fiberglass,7.0,1.95,250,530,55,13.45,12.3,Diesel,250,L-shaped keel
Dufour,45performance,4.3 or 4.65,2.15,Masthead sloop,10500,94.0,Fiberglass,7.0,1.96,250,500,55,13.68,12.33,Diesel,250,Shoal draft keel
Elan,impression444,4.18,1.85,Sloop,12000,99.0,Fiberglass,7.0,1.95,270,488,55,13.85,12.8,Diesel,165,Shoal draft keel
Grand Soleil,56extreme,5.2,2.95,Sloop,21500,223.0,Fiberglass composite,8.0,2.05,370,700,110,17.25,14.1,Diesel,400,Deep draft keel
Hanse,445,4.38,2.25,Masthead sloop,11290,103.0,Fiberglass,7.0,1.98,220,450,55,13.52,12.4,Diesel,220,L-shaped keel
Hanse,495,5.2,2.43,Masthead sloop,17400,152.0,Fiberglass,8.0,2.05,500,800,75,15.4,13.3,Diesel,300,L-shaped keel
Jeanneau,sunodyssey409,3.99,2.1,Masthead sloop,7860,77.0,Fiberglass,7.0,1.98,200,330,40,12.34,11.18,Diesel,140,Shoal draft keel
Jeanneau,sunodyssey439,4.24,1.925,Masthead sloop,10000,105.0,Fiberglass,7.0,1.95,200,530,54,13.34,12.0,Diesel,200,Shoal draft keel
Rustler,44,4.3,2.285,Sloop,16000,102.0,Fiberglass,6.0,1.93,500,600,75,13.41,10.67,Diesel,255,Fin keel
Sabre,456mkii,4.14 or 4.27,2.13,Masthead sloop,13000,110.0,Fiberglass composite,6.0,1.93,380,500,75,13.9,11.43,Diesel,227,Deep draft keel
Sly,48c,4.55,2.65,Masthead sloop,10400,143.0,Fiberglass composite,7.0,1.95,250,600,75,14.5,12.0,Diesel,300,L-shaped keel
Tartan,4000,3.96,2.28,Masthead sloop,9979,85.0,Fiberglass,7.0,1.93,265,360,56,12.35,10.36,Diesel,151,Fin keel
Tofinou,12,3.72,1.825,Sloop,4500,53.4,Epoxy composite,3.0,1.7,40,100,20,12.32,8.86,Battery electric,0,Lifting keel
Vismara,v50,4.46 or 3.8,2.75,Masthead sloop,15000,150.0,Carbon fiber composite,7.0,2,630,400,110,15.1,12.9,Diesel,250,Lifting keel
X-Yachts,xc50,4.76,2.1,Masthead sloop,17100,150.0,Fiberglass composite,7.0,2.03,440,615,75,15.24,13.18,Diesel,300,Shoal draft keel
Beneteau,oceanis41,4.2 or 4.8,2.05,Masthead sloop,8770,81.6,Fiberglass,7.0,1.98,200,570,40,12.38,11.25,Diesel,200,Shoal draft keel
Beneteau,sense43,4.42,2.05,Masthead sloop,10404,98.0,Fiberglass,6.0,1.95,200,330,54,13.26,11.61,Diesel,200,Deep draft keel
Beneteau,oceanis45,4.5,2.27,Masthead sloop,10770,105.0,Fiberglass,7.0,1.98,200,570,54,13.85,13.45,Diesel,200,Shoal draft keel
Beneteau,sense46,4.43,2.05,Masthead sloop,12326,110.0,Fiberglass,7.0,1.95,200,640,54,14.3,12.41,Diesel,200,Deep draft keel
Beneteau,oceanis48,4.74,2.15,Masthead sloop,12650,114.9,Fiberglass,10.0,1.98,200 or 400,690,75,14.6,13.25,Diesel,330,Shoal draft keel
Beneteau,sense50,4.86 or 5.35,2.2,Masthead sloop,16330,133.0,Fiberglass,8.0,2.05,415,820,75,15.27,14.07,Diesel,110 or 80,L-shaped keel
Beneteau,sense55,5.0 or 5.45,2.3,Masthead sloop,18000,192.0,Fiberglass composite,9.0,2.03,415 or 720,970,75,16.8,15.97,Diesel,110 or 80,L-shaped keel
Catalina,385,3.96,1.675,Masthead sloop,8600,88.2,Fiberglass,6.0,1.93,151 or 208,303,40,11.96,10.36,Diesel,114,Wing keel
Elan,impression394,3.91,1.825,Masthead sloop,8300,75.0,Fiberglass,7.0,1.95,165,516,40,11.9,10.79,Diesel,200,Shoal draft keel
Grand Soleil,39,3.85 or 3.95,2.15,Sloop,7500,84.0,Fiberglass,6.5,1.94,220 or 280,360,40,11.99,10.59,Diesel,180,L-shaped keel
Hallberg-Rassy,48mkii,4.42,2.23,Masthead sloop,17900,146.0,Fiberglass,7.0,1.96,650,900,150,14.99,12.63,Diesel,225,Deep draft keel
Hanse,545,5.2,2.8,Masthead sloop,20400,183.0,Fiberglass composite,9.0,2.15,520,810,107,16.08,14.92,Diesel,110,L-shaped keel
Jeanneau,sunodyssey44ds,4.37,2.0,Masthead sloop,9660,83.6,Fiberglass,7.0,2,200 or 400,615,54,13.75,12.84,Diesel,180,L-shaped keel
Jeanneau,sunodyssey469,4.49 or 4.77,2.24,Masthead sloop,10800,107.0,Fiberglass,8.0,1.95,240 or 360,530,54,14.05,13.65,Diesel,240 or 57,Shoal draft keel
Jeanneau,sunodyssey509,4.69 or 5.18,2.28,Masthead sloop,14930,141.0,Fiberglass,9.0,2.06,240 or 480,970,75,15.38,14.98,Diesel,240 or 110,L-shaped keel
Passport,vista545centercockpit,4.57,1.905,Sloop or Cutter,22680,139.0,Fiberglass composite,7.0,1.98,1150,830,100,16.66,14.48,Diesel,600 or 300,Wing keel
Sly,47,4.45,2.7,Masthead sloop,11200,140.0,Fiberglass composite,7.0,2,260,450,75,14.43,13.65,Diesel,75,L-shaped keel
Solaris,44,4.37 or 3.97,2.6,Masthead sloop,10500,127.0,Fiberglass composite,7.0,1.98,330,500,75,13.5,12.5,Diesel,200,Lifting keel
Southerly,420,4.36,2.41,Sloop or cutter,13750,104.7,Fiberglass composite,6.0,1.93,680,475,57,13.5,11.22,Diesel,227,Swing keel
Tofinou,16,2.5,1.9,Sloop or cutter,1800,30.0,Epoxy composite,3.0,1.3,40,60,10,5.07,3.78,Battery electric,0,Lifting keel
X-Yachts,xp38,3.65 or 3.95,2.05,Masthead sloop,7700,89.5,Fiberglass composite,6.0,1.92,150 or 200,265,29,11.58,10.31,Diesel,130 or 30,Deep draft keel
X-Yachts,xp44,4.13,2.45,Masthead sloop,9970,107.0,Fiberglass composite,7.0,1.95,200 or 300,340,57,13.29,11.42,Diesel,200 or 75,Deep draft keel
X-Yachts,xp50,4.58,2.45,Masthead sloop,13700,138.0,Fiberglass composite,8.0,1.98,350 or 500,615,76,15.24,13.28,Diesel,75,Deep draft keel
Bavaria,41cruiser,3.96,2.05,Sloop,9200,85.0,Fiberglass,6.0,1.94,210,360,40,12.35,11.4,Diesel,150,L-shaped keel
Bavaria,vision46,4.42,1.92,Masthead sloop,12600,109.0,Fiberglass,7.0,2.05,210,580,55,14.4,13.3,Diesel,210,Shoal draft keel
Beneteau,oceanis41ownersversion,4.2 or 4.8,2.05,Masthead sloop,8770,81.6,Fiberglass,6.0,1.98,200,570,40,12.38,11.25,Diesel,200,Shoal draft keel
Beneteau,oceanis55,4.97 or 5.3,2.3,Masthead sloop,17500,167.0,Fiberglass,8.0,2.15,415 or 975,970,75,16.78,15.96,Diesel,480 or 110,L-shaped keel
Delphia,46cc,4.48,2.05,Sloop,13000,100.0,Fiberglass composite,6.0,1.95,450,660,55,14.31,12.52,Diesel,55,Shoal draft keel
Dufour,380,3.85,2.05,Masthead sloop,7685,70.0,Fiberglass,7.0,1.93,160 or 200,380,40,11.23,10.72,Diesel,40,L-shaped keel
Dufour,410,4.2 or 4.5,2.1,Masthead sloop,8770,91.0,Fiberglass,7.0,1.98,200 or 250,380,40,12.35,11.15,Diesel,50 or 55,L-shaped keel
Dufour,410grandlarge,4.2 or 4.5,2.1,Masthead sloop,8770,91.0,Fiberglass,7.0,1.98,200 or 250,380,50,12.35,11.15,Diesel,50 or 55,L-shaped keel
Dufour,450grandlarge,4.3 or 4.8,2.35,Masthead sloop,11160,105.0,Fiberglass,7.0,2.05,250,430 or 530,55,13.76,12.35,Diesel,75,L-shaped keel
Dufour,500grandlarge,4.8 or 5.02,2.3,Masthead sloop,15200,147.0,Fiberglass composite,9.0,2.05,500,730,75,15.1,14.08,Diesel,110,L-shaped keel
Elan,impression494,4.68 or 4.85,2.1,Masthead sloop,15000,144.0,Fiberglass composite,9.0,2.03,440,605,75,14.85,13.94,Diesel,295,L-shaped keel
Grand Soleil,47,4.41,2.8,Sloop,13800,131.5,Fiberglass composite,7.0,2.06,250,600,75,14.31,12.71,Diesel,55,L-shaped keel
Hallberg-Rassy,412,4.11,2.0,Masthead sloop,12500,92.0,Fiberglass,6.0,1.95,375,650,57,12.61,11.36,Diesel,75,Deep draft keel
Hanse,415,4.17,1.9,Masthead sloop,9800,89.0,Fiberglass,7.0,1.98,160,475,39,12.4,11.4,Diesel,40 or 55,Shoal or deep draft keel
Hanse,505,5.05 or 4.75,2.175,Masthead sloop,15600,141.0,Fiberglass,8.0,2.1,300 or 520,710,75,15.4,14.3,Diesel,75 or 107,L-shaped keel
Hanse,575,5.2 or 5.2,2.85,Masthead sloop,20900,165.2,Fiberglass composite,9.0,2.15,520,810,110,17.15,15.15,Diesel,525,L-shaped keel
Hunter,40,4.11,1.75,Sloop or cutter,8770,80.7,Fiberglass,6.0,1.98,114,284,40,12.4,10.67,Diesel,150,Shoal or deep draft keel
Hunter,marlow-hunter40,4.11,1.75,Sloop or cutter,8770,80.7,Fiberglass,6.0,1.98,189,284,40,12.4,10.67,Diesel,150,Shoal or deep draft keel
Jeanneau,sunodyssey41ds,4.05,2.1,Masthead sloop,8260,69.6,Fiberglass,6.0,1.98,200,330,40,12.34,11.68,Diesel,130 or 54,Shoal draft keel
Jeanneau,sunodyssey40.9,3.99,2.025,Masthead sloop,7860,77.0,Fiberglass,7.0,1.94,136,330,40,12.38,11.15,Diesel,40 or 54 or 75,Shoal or deep draft keel
Nauticat,42,3.95,2.05,Ketch,16000,110.0,Fiberglass composite,7.0,1.98,800,800,75,13.29,11.35,Diesel,200,L-shaped keel
RM Yachts,rm1260,4.35,2.25,Sloop or cutter,8400,80.0,Fiberglass composite,5.0,1.95,300 or 500,640,57,12.92,12.45,Diesel,40,Swing keel
Salona,38,3.7,2.2,Sloop or cutter,7000,70.3,Fiberglass composite,6.0,1.95,200,250,30,11.5,10.97,Diesel,120,Deep draft keel
Salona,42,3.99 or 4.2,2.4,Sloop or cutter,9800,98.0,Fiberglass composite,7.0,1.98,230,370,55,12.85,11.65,Diesel,55,L-shaped keel
Solaris,42,4.18,2.7,Masthead sloop,10900,108.8,Fiberglass composite,7.0,1.99,350,360,55,12.89,11.88,Diesel,75 or 55,L-shaped keel
Van De Stadt,norman41,3.7,1.925,Masthead sloop,10500,75.9,Fiberglass composite,7.0,1.92 or 1.98,200,450,55,12.5,10.0,Diesel,160,Shoal or deep draft keel
Wauquiez,opium39,3.8,2.175,Sloop,7500,68.0,Fiberglass composite,5.0,1.95,130,330,29,11.99,10.49,Diesel,70,L-shaped keel
Bavaria,42vision,4.05,1.83,Masthead sloop,10600,103.0,Fiberglass,6.0,2.05,210,360,40,12.85,11.4,Diesel,210,Shoal or deep draft keel
Beneteau,oceanis38,3.99,1.8,Masthead sloop,6850,64.0,Fiberglass,5.0,1.91,130,330,30,11.5,10.72,Diesel,130,Shoal or deep draft keel
Boreal,44,4.5,2.2,Cutter or ketch,14000,107.0,Fiberglass composite,7.0,2.05,400,1000,75,13.68,11.24,Diesel,75,Lifting keel
Dehler,37,3.59,2.125,Masthead sloop,6900,67.5,Fiberglass composite,5.0,1.92,160,300,28,11.3,10.2,Diesel,40,Shoal or deep draft keel
Dehler,38competition,3.75,2.22,Sloop or cutter,7300,70.5,Fiberglass composite,5.0,1.91 or 1.98,150,320,30,11.7,10.8,Diesel,40 or 55,Shoal or deep draft keel
Dufour,450libertyversion,4.3 or 4.8,2.35,Masthead sloop,11160,105.0,Fiberglass,7.0,2.05,250,430 or 530,55,13.76,12.35,Diesel,75,L-shaped keel
Southerly,535,4.83,2.615,Sloop or cutter,24700,184.0,Fiberglass composite,7.0,2.03,1000,825,110,16.18,13.74,Diesel,700,Lifting keel
Sunbeam,42.1,4.18,2.15,Masthead sloop,12000,92.0,Fiberglass composite,7.0,1.95,250,420,55,12.79,11.2,Diesel,240 or 75,L-shaped keel
Van De Stadt,stainlesssteelcutter,3.62,1.89,Sloop or cutter,8000,81.5,Steel,5.0,1.85,200,600,110,12.88,10.18,Diesel,150 or 75,Long keel
Contest,42cs,4.05 or 4.1,2.165,Masthead sloop,10500,93.5,Fiberglass composite,6.0,1.95,210,380,54,12.98,11.06,Diesel,120,L-shaped keel
Dehler,varianta44,4.18,2.14,Masthead sloop,11200,103.0,Fiberglass composite,7.0,1.95 or 1.97,210,360,55,13.5,11.5,Diesel,55,Shoal or deep draft keel
Dehler,46,4.35,2.425,Sloop or cutter,11200,108.0,Fiberglass composite,7.0,2.05,210,450,75,14.4,12.9,Diesel,55,L-shaped keel
Dufour,382grandlarge,3.85,1.925,Masthead sloop,7500,63.0,Fiberglass,6.0,1.93,200,380,30,11.23,10.69,Diesel,40,Shoal or deep draft keel
Dufour,412grandlarge,4.2 or 4.2,2.2,Masthead sloop,10000,92.0,Fiberglass composite,7.0,2.05,250,530,50,12.7,11.15,Diesel,50 or 55,L-shaped keel
Dufour,460grandlarge,4.5 or 4.5,2.35,Masthead sloop,10750,107.0,Fiberglass composite,7.0,2.05,250,530,55,14.15,12.35,Diesel,75 or 110,L-shaped keel
Elan,impression40,3.91,1.825,Masthead sloop,8500,78.5,Fiberglass composite,7.0,1.98,210,360,40,12.2,10.9,Diesel,200,Shoal or deep draft keel
Elan,impression45,4.18,2.025,Masthead sloop,10700,106.6,Fiberglass composite,7.0,1.95 or 2,270,516,55,13.85,12.67,Diesel,243,Shoal or deep draft keel
Elan,impression50,4.68,2.25,Masthead sloop,16800,146.6,Fiberglass composite,9.0,1.98,440,615,75,15.2,14.85,Diesel,300,L-shaped keel
Grand Soleil,46lc,4.41,2.4,Masthead sloop,13700,114.6,Fiberglass composite,7.0,1.98,280,410,55,14.65,12.75,Diesel,250,L-shaped keel
Hanse,385,3.88,1.745,Masthead sloop,8400,77.0,Fiberglass composite,6.0,1.95,160 or 220,300 or 520,30 or 55,11.99,10.85,Diesel,120 or 39,Shoal or deep draft keel
Hanse,455,4.38,1.99,Masthead sloop,12400,108.0,Fiberglass composite,7.0,2.05,220,450,57,13.95,12.54,Diesel,75 or 110,Shoal or deep draft keel
Morris,m42x,3.94 or 4.14,2.06,Carbon fiber,7938,89.7,Fiberglass composite,6.0,1.93,200,400,54,12.8,10.9,Diesel,150,Shoal or deep draft keel
Oyster,475,4.49,2.375,Masthead cutter,19177,136.5,Fiberglass composite,7.0,2.01,1200,931,75,14.47,12.02,Diesel,235,L-shaped keel
Oyster,545,5.23,2.7350000000000003,Masthead cutter,32431,201.3,Fiberglass composite,7.0,2.05,1600,1135,110,16.45,13.87,Diesel,350 or 250,Deep draft keel
Passport,545aftcockpit,4.57,2.235,Sloop or cutter,20412,157.0,Fiberglass composite,7.0,1.96,1000,1000,110,16.76,14.43,Diesel,175 or 225,Swing keel
Salona,s41,3.85,2.35,Sloop or cutter,7800,83.0,Fiberglass composite,7.0,1.98,210,360,39,12.5,11.4,Diesel,40,Shoal or deep draft keel
Vismara,v50ds,4.25,2.75,Sloop or cutter,13000,120.0,Fiberglass composite,7.0,2.05,400,600,75,15.35,14.5,Diesel,75,Lifting keel
X-Yachts,xc38,3.75,1.85,Masthead sloop,7950,79.2,Fiberglass composite,6.0,1.95,200,300,29,11.58,10.63,Diesel,29,Shoal or deep draft keel
